Federated Finetuning LLM-LoRA with params:
global_model: chavinlo/alpaca-native
data_path: ./data
output_dir: ./lora-shepherd-7b/
client_selection_strategy: random
client_selection_frac: 0.1
num_communication_rounds: 10
num_clients: 10
local_batch_size: 64
local_micro_batch_size: 8
local_num_epochs: 10
local_learning_rate: 0.0003
local_val_set_size: 0
local_save_steps: 3
cutoff_len: 512
lora_r: 16
lora_alpha: 16
lora_dropout: 0.05
lora_target_modules: ['q_proj']
train_on_inputs: True
group_by_length: True
resume_from_checkpoint: False
prompt template: alpaca

The process of federated instruction-tuning has started..

Conducting the client selection

Preparing the local dataset and trainer for Client_2
Initiating the local training of Client_2
Local training starts ... 
{'loss': 5.0019, 'grad_norm': 0.21112509071826935, 'learning_rate': 0.00029999477988515747, 'epoch': 0.0}
{'loss': 5.1436, 'grad_norm': 0.23264163732528687, 'learning_rate': 0.0002999895597703149, 'epoch': 0.0}
{'loss': 5.1587, 'grad_norm': 0.24776381254196167, 'learning_rate': 0.00029998433965547236, 'epoch': 0.0}
{'loss': 5.1605, 'grad_norm': 0.2872912585735321, 'learning_rate': 0.00029997911954062986, 'epoch': 0.0}
{'loss': 5.0543, 'grad_norm': 0.36179685592651367, 'learning_rate': 0.00029997389942578736, 'epoch': 0.0}
{'loss': 4.9981, 'grad_norm': 0.5536543130874634, 'learning_rate': 0.0002999686793109448, 'epoch': 0.0}
{'loss': 4.9188, 'grad_norm': 0.48864999413490295, 'learning_rate': 0.0002999634591961023, 'epoch': 0.0}
{'loss': 4.8205, 'grad_norm': 0.464985728263855, 'learning_rate': 0.00029995823908125974, 'epoch': 0.0}
{'loss': 4.6993, 'grad_norm': 0.4570387005805969, 'learning_rate': 0.00029995301896641724, 'epoch': 0.0}
{'loss': 4.5941, 'grad_norm': 0.45909765362739563, 'learning_rate': 0.00029994779885157474, 'epoch': 0.0}
{'loss': 4.5119, 'grad_norm': 0.45001205801963806, 'learning_rate': 0.0002999425787367322, 'epoch': 0.0}
{'loss': 4.422, 'grad_norm': 0.43857672810554504, 'learning_rate': 0.00029993735862188963, 'epoch': 0.0}
{'loss': 4.2604, 'grad_norm': 0.4539586305618286, 'learning_rate': 0.00029993213850704713, 'epoch': 0.0}
{'loss': 4.2032, 'grad_norm': 0.47387123107910156, 'learning_rate': 0.0002999269183922046, 'epoch': 0.0}
{'loss': 4.1393, 'grad_norm': 0.4453023672103882, 'learning_rate': 0.00029992169827736207, 'epoch': 0.0}
{'loss': 4.039, 'grad_norm': 0.4715312421321869, 'learning_rate': 0.0002999164781625195, 'epoch': 0.0}
{'loss': 3.985, 'grad_norm': 0.4218328297138214, 'learning_rate': 0.000299911258047677, 'epoch': 0.0}
{'loss': 3.8637, 'grad_norm': 0.4480662941932678, 'learning_rate': 0.0002999060379328345, 'epoch': 0.0}
{'loss': 3.7866, 'grad_norm': 0.4805978536605835, 'learning_rate': 0.00029990081781799196, 'epoch': 0.0}
{'loss': 3.7039, 'grad_norm': 0.4804300367832184, 'learning_rate': 0.00029989559770314945, 'epoch': 0.0}
{'loss': 3.5937, 'grad_norm': 0.4592715799808502, 'learning_rate': 0.0002998903775883069, 'epoch': 0.0}
{'loss': 3.5667, 'grad_norm': 0.597445011138916, 'learning_rate': 0.0002998851574734644, 'epoch': 0.0}
{'loss': 3.4883, 'grad_norm': 0.4948000907897949, 'learning_rate': 0.0002998799373586219, 'epoch': 0.0}
{'loss': 3.3972, 'grad_norm': 0.47159963846206665, 'learning_rate': 0.00029987471724377934, 'epoch': 0.0}
{'loss': 3.3501, 'grad_norm': 0.4930383265018463, 'learning_rate': 0.0002998694971289368, 'epoch': 0.0}
{'loss': 3.2495, 'grad_norm': 0.46318456530570984, 'learning_rate': 0.0002998642770140943, 'epoch': 0.0}
{'loss': 3.1435, 'grad_norm': 0.5086038708686829, 'learning_rate': 0.0002998590568992518, 'epoch': 0.0}
{'loss': 3.0937, 'grad_norm': 0.45469123125076294, 'learning_rate': 0.0002998538367844092, 'epoch': 0.0}
{'loss': 2.9992, 'grad_norm': 0.46275049448013306, 'learning_rate': 0.00029984861666956667, 'epoch': 0.01}
{'loss': 2.8983, 'grad_norm': 0.5726991891860962, 'learning_rate': 0.00029984339655472417, 'epoch': 0.01}
{'loss': 2.8282, 'grad_norm': 0.5111169815063477, 'learning_rate': 0.00029983817643988166, 'epoch': 0.01}
{'loss': 2.7839, 'grad_norm': 0.4655301570892334, 'learning_rate': 0.0002998329563250391, 'epoch': 0.01}
{'loss': 2.6973, 'grad_norm': 0.45982056856155396, 'learning_rate': 0.0002998277362101966, 'epoch': 0.01}
{'loss': 2.7041, 'grad_norm': 0.40061914920806885, 'learning_rate': 0.00029982251609535405, 'epoch': 0.01}
{'loss': 2.6894, 'grad_norm': 0.3980560600757599, 'learning_rate': 0.00029981729598051155, 'epoch': 0.01}
{'loss': 2.587, 'grad_norm': 0.39988312125205994, 'learning_rate': 0.00029981207586566905, 'epoch': 0.01}
{'loss': 2.5744, 'grad_norm': 0.47380030155181885, 'learning_rate': 0.0002998068557508265, 'epoch': 0.01}
{'loss': 2.5308, 'grad_norm': 0.4070330262184143, 'learning_rate': 0.00029980163563598394, 'epoch': 0.01}
{'loss': 2.5168, 'grad_norm': 0.4387708008289337, 'learning_rate': 0.00029979641552114143, 'epoch': 0.01}
{'loss': 2.4131, 'grad_norm': 0.399530291557312, 'learning_rate': 0.00029979119540629893, 'epoch': 0.01}
